check	severity	school_id	school_name	field	observed	note
4-GPA_PCT_CONVENTION	BLOCKING	cmks30elz00239vii3wiqinsg	Pacific Lutheran University	gpaDistribution	100.0	Bands stored as percentages (0-100) instead of fractions (0-1); engine expects 0-1
4-GPA_PCT_CONVENTION	BLOCKING	cmks308uy000d9viio4skawgr	Baruch	gpaDistribution	100.00	Bands stored as percentages (0-100) instead of fractions (0-1); engine expects 0-1
4-GPA_PCT_CONVENTION	BLOCKING	cmks30aia000v9viipegrh03n	Pitzer	gpaDistribution	99.9	Bands stored as percentages (0-100) instead of fractions (0-1); engine expects 0-1
4-GPA_PCT_CONVENTION	BLOCKING	cml87ktpy000mu4zskf6626kl	University of Maine	gpaDistribution	100.00	Bands stored as percentages (0-100) instead of fractions (0-1); engine expects 0-1
4-GPA_PCT_CONVENTION	BLOCKING	cml87jseg000khv3fxisbt4cs	University of Vermont	gpaDistribution	100.01	Bands stored as percentages (0-100) instead of fractions (0-1); engine expects 0-1
4-GPA_PCT_CONVENTION	BLOCKING	cml87ktle000hu4zsedof6ipp	Clarkson University	gpaDistribution	100.1	Bands stored as percentages (0-100) instead of fractions (0-1); engine expects 0-1
4-GPA_PCT_CONVENTION	BLOCKING	cml87jsfc0012hv3fwj0suxio	University of Pittsburgh	gpaDistribution	100	Bands stored as percentages (0-100) instead of fractions (0-1); engine expects 0-1
5a-OOS_TOO_HIGH	WARNING	cml87jser000rhv3filzkpog7	San Diego State University	oosAcceptanceRate	87.06 vs overall 35.97	OOS admit rate >30pp higher than overall (unusual; check)
5a-OOS_TOO_HIGH	WARNING	cmkrnd3qa000rcrknqcxunlee	California Polytechnic State University, San Luis Obispo	oosAcceptanceRate	62.08 vs overall 29.96	OOS admit rate >30pp higher than overall (unusual; check)
5a-OOS_TOO_HIGH	WARNING	cml87kth90002u4zssb050tr7	SUNY Binghamton University	oosAcceptanceRate	79.18 vs overall 38.61	OOS admit rate >30pp higher than overall (unusual; check)
5c-ED_LOW	WARNING	cml87kth50001u4zsel9uj6zo	Colorado State University	edAcceptanceRate	31.81 vs overall 88.64	ED admit rate <70% of overall (unusual; ED typically higher)
5c-ED_LOW	WARNING	cml87ktsx000ou4zsseajxo0i	Colorado School of Mines	edAcceptanceRate	31.81 vs overall 58.00	ED admit rate <70% of overall (unusual; ED typically higher)
5d-ED_HIGH	WARNING	cml87jsdh0003hv3f09cmtufa	Amherst College	edAcceptanceRate	29.39 vs overall 9.01	ED admit rate >3× overall (sanity ceiling)
5d-ED_HIGH	WARNING	cml87jses000shv3f30bi2dq7	Grinnell College	edAcceptanceRate	40.80 vs overall 12.68	ED admit rate >3× overall (sanity ceiling)
5d-ED_HIGH	WARNING	cml87jsey000vhv3fjf5ty3zs	Tulane University	edAcceptanceRate	59.40 vs overall 13.98	ED admit rate >3× overall (sanity ceiling)
5d-ED_HIGH	WARNING	cml7z424g000frtujmf34mjlx	University of California, Los Angeles	edAcceptanceRate	40.00 vs overall 8.97	ED admit rate >3× overall (sanity ceiling)
5d-ED_HIGH	WARNING	cml7z424c000brtuji2lhpeew	Columbia University	edAcceptanceRate	13.23 vs overall 3.86	ED admit rate >3× overall (sanity ceiling)
5d-ED_HIGH	WARNING	cml87jsdn0006hv3fj577zcvg	Northeastern University	edAcceptanceRate	43.05 vs overall 5.22	ED admit rate >3× overall (sanity ceiling)
5d-ED_HIGH	WARNING	cml7z424i000hrtujj8tqfcv2	Dartmouth College	edAcceptanceRate	19.18 vs overall 5.40	ED admit rate >3× overall (sanity ceiling)
5d-ED_HIGH	WARNING	cml7z42490007rtujx0tiiug8	Duke University	edAcceptanceRate	17.33 vs overall 5.71	ED admit rate >3× overall (sanity ceiling)
6-EMPTY_ROW	BLOCKING	cmks30b1e00119viibc9y6vf5	UMN	all_key_fields_null	usNewsRank=NULL acceptanceRate=NULL sat=NULL ipeds=NULL	Shell duplicate row (probable abbreviation of full-name entry)
6-NO_EXTERNAL_IDS	WARNING	cmks30a92000s9viin1yd9gku	Macalester	ipedsId,scorecardId	both NULL	No external IDs — provenance/de-dup hard
6-NO_EXTERNAL_IDS	WARNING	cmks30arv000y9viieexusysq	Reed	ipedsId,scorecardId	both NULL	No external IDs — provenance/de-dup hard
6-NO_EXTERNAL_IDS	WARNING	cmks30bjb00179viiwwflr6fp	Whitman	ipedsId,scorecardId	both NULL	No external IDs — provenance/de-dup hard
6-NO_EXTERNAL_IDS	WARNING	cmks308uy000d9viio4skawgr	Baruch	ipedsId,scorecardId	both NULL	No external IDs — provenance/de-dup hard
6-NO_EXTERNAL_IDS	WARNING	cmks30aia000v9viipegrh03n	Pitzer	ipedsId,scorecardId	both NULL	No external IDs — provenance/de-dup hard
7-CLOSED_BUT_NULL	WARNING	cmks30ev600269viis2ymp096	Augustana university	description	NULL	Closure marked CLOSED but School column is NULL
7-CLOSED_BUT_NULL	WARNING	cmks30ev600269viis2ymp096	Augustana university	descriptionZh	NULL	Closure marked CLOSED but School column is NULL
7-CLOSED_BUT_NULL	WARNING	cmks30elz00239vii3wiqinsg	Pacific Lutheran University	descriptionZh	NULL	Closure marked CLOSED but School column is NULL
7-CLOSED_BUT_NULL	WARNING	cmks30elz00239vii3wiqinsg	Pacific Lutheran University	description	NULL	Closure marked CLOSED but School column is NULL
7-CLOSED_BUT_NULL	WARNING	cmks308uy000d9viio4skawgr	Baruch	description	NULL	Closure marked CLOSED but School column is NULL
7-CLOSED_BUT_NULL	WARNING	cmks308uy000d9viio4skawgr	Baruch	descriptionZh	NULL	Closure marked CLOSED but School column is NULL
7-CLOSED_BUT_NULL	WARNING	cmks30aia000v9viipegrh03n	Pitzer	description	NULL	Closure marked CLOSED but School column is NULL
7-CLOSED_BUT_NULL	WARNING	cmks30aia000v9viipegrh03n	Pitzer	descriptionZh	NULL	Closure marked CLOSED but School column is NULL
7-CLOSED_BUT_NULL	WARNING	cmks30a92000s9viin1yd9gku	Macalester	description	NULL	Closure marked CLOSED but School column is NULL
7-CLOSED_BUT_NULL	WARNING	cmks30a92000s9viin1yd9gku	Macalester	descriptionZh	NULL	Closure marked CLOSED but School column is NULL
7-CLOSED_BUT_NULL	WARNING	cmks30arv000y9viieexusysq	Reed	descriptionZh	NULL	Closure marked CLOSED but School column is NULL
7-CLOSED_BUT_NULL	WARNING	cmks30ecd00209viixi0w23je	Wheaton college Massachusetts	description	NULL	Closure marked CLOSED but School column is NULL
7-CLOSED_BUT_NULL	WARNING	cmks30ecd00209viixi0w23je	Wheaton college Massachusetts	descriptionZh	NULL	Closure marked CLOSED but School column is NULL
7-CLOSED_BUT_NULL	WARNING	cmks30bjb00179viiwwflr6fp	Whitman	descriptionZh	NULL	Closure marked CLOSED but School column is NULL
7-CLOSED_BUT_NULL	WARNING	cmks30arv000y9viieexusysq	Reed	description	NULL	Closure marked CLOSED but School column is NULL
7-CLOSED_BUT_NULL	WARNING	cmks30bjb00179viiwwflr6fp	Whitman	description	NULL	Closure marked CLOSED but School column is NULL
7-WRONG_FIELD_TAG	WARNING	cmkrnd6pr001ecrknsnm93stw	Old Dominion University	edAcceptanceRate	NULL	CT tagged as edAcceptanceRate but notes describe OOS data (sync drift)
7-WRONG_FIELD_TAG	WARNING	cmkrnd48m000vcrkncenccbqp	University of Toledo	edAcceptanceRate	NULL	CT tagged as edAcceptanceRate but notes describe OOS data (sync drift)
7-WRONG_FIELD_TAG	WARNING	cml87ktk0000cu4zsnfz0revi	Towson University	edAcceptanceRate	NULL	CT tagged as edAcceptanceRate but notes describe OOS data (sync drift)
7-WRONG_FIELD_TAG	WARNING	cmkrnyjb9001610fwcljpwhlz	California State University, Sacramento	edAcceptanceRate	NULL	CT tagged as edAcceptanceRate but notes describe OOS data (sync drift)
7-WRONG_FIELD_TAG	WARNING	cmkrnd4hu000xcrkn82jk4epr	University of Massachusetts Lowell	edAcceptanceRate	NULL	CT tagged as edAcceptanceRate but notes describe OOS data (sync drift)
7-WRONG_FIELD_TAG	WARNING	cmkrnd3f9000pcrknxoxp2epw	California State University, Fullerton	edAcceptanceRate	NULL	CT tagged as edAcceptanceRate but notes describe OOS data (sync drift)
7-WRONG_FIELD_TAG	WARNING	cmkrnd3um000scrkn1kavwuk8	North Dakota State University	edAcceptanceRate	NULL	CT tagged as edAcceptanceRate but notes describe OOS data (sync drift)
7-WRONG_FIELD_TAG	WARNING	cmkrnd6uj001fcrknoaoxnr3n	Wright State University	edAcceptanceRate	NULL	CT tagged as edAcceptanceRate but notes describe OOS data (sync drift)
7-WRONG_FIELD_TAG	WARNING	cmkrnd6l9001dcrkni303b5bd	University of Massachusetts Boston	edAcceptanceRate	NULL	CT tagged as edAcceptanceRate but notes describe OOS data (sync drift)
7-WRONG_FIELD_TAG	WARNING	cml87jse1000bhv3fphme0vd6	University of Rhode Island	edAcceptanceRate	NULL	CT tagged as edAcceptanceRate but notes describe OOS data (sync drift)
7-WRONG_FIELD_TAG	WARNING	cmkrnd4dc000wcrknv9q9trbw	Wayne State University	edAcceptanceRate	NULL	CT tagged as edAcceptanceRate but notes describe OOS data (sync drift)
7-WRONG_FIELD_TAG	WARNING	cmkrnd5mp0016crkndya1t1cw	Idaho State University	edAcceptanceRate	NULL	CT tagged as edAcceptanceRate but notes describe OOS data (sync drift)
7-WRONG_FIELD_TAG	WARNING	cmkrnd60g0019crkndt3sr98g	University of Texas at San Antonio	edAcceptanceRate	NULL	CT tagged as edAcceptanceRate but notes describe OOS data (sync drift)
7-WRONG_FIELD_TAG	WARNING	cmkrnd6ab001bcrkn8ie66wj4	Florida International University	edAcceptanceRate	NULL	CT tagged as edAcceptanceRate but notes describe OOS data (sync drift)
7-WRONG_FIELD_TAG	WARNING	cmkrnyio9001110fwwuxu8rzz	Appalachian State University	edAcceptanceRate	NULL	CT tagged as edAcceptanceRate but notes describe OOS data (sync drift)
7-WRONG_FIELD_TAG	WARNING	cml87ktim0009u4zs3zq9o6mi	San Jose State University	edAcceptanceRate	NULL	CT tagged as edAcceptanceRate but notes describe OOS data (sync drift)
7-WRONG_FIELD_TAG	WARNING	cmkrnyixb001310fwgv0sd6ep	University of North Carolina Wilmington	edAcceptanceRate	NULL	CT tagged as edAcceptanceRate but notes describe OOS data (sync drift)
7-WRONG_FIELD_TAG	WARNING	cml87jsdj0004hv3f2np9nf4s	Rochester Institute of Technology	oosAcceptanceRate	NULL	CT tagged as oosAcceptanceRate but notes describe ED data
10-INTL_TOO_HIGH	WARNING	cmkrnyjk7001810fwshru1tsy	University of South Florida	intlAcceptanceRate	89.90 vs overall 43.19	Intl admit rate >30pp higher than overall (unusual)
X-CROSS_CONTAMINATION	BLOCKING	cml87kth50001u4zsel9uj6zo	Colorado State University	edAcceptanceRate/eaAcceptanceRate	31.81/20.57	ED/EA sourced from coloradocollege.edu/.../CDS_2024-2025.pdf — wrong school CDS
X-CROSS_CONTAMINATION	BLOCKING	cml87ktsx000ou4zsseajxo0i	Colorado School of Mines	edAcceptanceRate/eaAcceptanceRate	31.81/20.57	ED/EA sourced from coloradocollege.edu/.../CDS_2024-2025.pdf — wrong school CDS
X-FABRICATED	BLOCKING	cml7z424g000frtujmf34mjlx	University of California, Los Angeles	edAcceptanceRate/eaAcceptanceRate	40.00/50.00	UCLA has no ED/EA per its own CDS notes, yet 40/50 values stored
