essayPromptId,assignedSchoolName,matchedSchoolName,year,status,type,severity,closureState,disposition,matchedTerm,matchedTermSource,matchConfidence,ownSchoolMentioned,hasSourceRows,route,evidenceSnippet
"cmorw4utc001f44lkot1qkieg","Cooper Union","Olin College of Engineering","2026","VERIFIED","SHORT_ANSWER","critical","review","review_foreign_school_mention","engineering","derived","medium","true","false","/admin/essay-prompts/cmorw4utc001f44lkot1qkieg","... in pursuing your chosen major (e.g., chemical engineering, civil engineering, electrical engineering, mechanical engineering, or computer science)? how do you envision engaging with cooper's..."
"cmorw4utc001f44lkot1qkieg","Cooper Union","Olin College of Engineering","2026","VERIFIED","SHORT_ANSWER","critical","review","review_foreign_school_mention","engineering","derived","medium","true","false","/admin/essay-prompts/cmorw4utc001f44lkot1qkieg","... major (e.g., chemical engineering, civil engineering, electrical engineering, mechanical engineering, or computer science)? how do you envision engaging with cooper's labs, research opportun..."
"cmor8113c004z1jbwljah8m0i","Cornell University","Olin College of Engineering","2026","VERIFIED","SHORT_ANSWER","critical","review","review_foreign_school_mention","engineering","derived","medium","true","false","/admin/essay-prompts/cmor8113c004z1jbwljah8m0i","what do you believe you will contribute to the cornell engineering community beyond what you've already detailed in your application? what unique voice will..."
"cmorw208a00anrazutfw9l0x0","Lehigh University","Olin College of Engineering","2026","VERIFIED","SHORT_ANSWER","critical","review","review_foreign_school_mention","engineering","derived","medium","false","false","/admin/essay-prompts/cmorw208a00anrazutfw9l0x0","integrated degree in engineering, arts & sciences program applicants: what makes the integrated degree in engineering, art..."
"cmorw208a00anrazutfw9l0x0","Lehigh University","Olin College of Engineering","2026","VERIFIED","SHORT_ANSWER","critical","review","review_foreign_school_mention","engineering","derived","medium","false","false","/admin/essay-prompts/cmorw208a00anrazutfw9l0x0","...e in engineering, arts & sciences program applicants: what makes the integrated degree in engineering, arts & sciences (ideas) program the best fit for your academic and/or professional goals..."
"cmorw208400alrazuhcf01zst","Lehigh University","Olin College of Engineering","2026","VERIFIED","SHORT_ANSWER","critical","review","review_foreign_school_mention","engineering","derived","medium","false","false","/admin/essay-prompts/cmorw208400alrazuhcf01zst","integrated business & engineering honors program applicants: what makes the integrated business & engineering program the b..."
"cmorw208400alrazuhcf01zst","Lehigh University","Olin College of Engineering","2026","VERIFIED","SHORT_ANSWER","critical","review","review_foreign_school_mention","engineering","derived","medium","false","false","/admin/essay-prompts/cmorw208400alrazuhcf01zst","...ed business & engineering honors program applicants: what makes the integrated business & engineering program the best fit for your academic and/or professional goals?"
"cmorxd2u300hl8vvhwcsu5kin","Saint Louis University","Washington University in St. Louis","2026","VERIFIED","SHORT_ANSWER","critical","review","review_foreign_school_mention","louis","derived","medium","false","false","/admin/essay-prompts/cmorxd2u300hl8vvhwcsu5kin","...mpts to help us understand ""who are you?"": option a: washu supports engagement in the st. louis community by considering the university as ""in st. louis, for st. louis."" what is a commu..."
"cmorxd2u300hl8vvhwcsu5kin","Saint Louis University","Washington University in St. Louis","2026","VERIFIED","SHORT_ANSWER","critical","review","review_foreign_school_mention","louis","derived","medium","false","false","/admin/essay-prompts/cmorxd2u300hl8vvhwcsu5kin","...u supports engagement in the st. louis community by considering the university as ""in st. louis, for st. louis."" what is a community you are a part of, and your place or impact within i..."
"cmorxd2u300hl8vvhwcsu5kin","Saint Louis University","Washington University in St. Louis","2026","VERIFIED","SHORT_ANSWER","critical","review","review_foreign_school_mention","louis","derived","medium","false","false","/admin/essay-prompts/cmorxd2u300hl8vvhwcsu5kin","...gement in the st. louis community by considering the university as ""in st. louis, for st. louis."" what is a community you are a part of, and your place or impact within it? option b: wa..."
"cmorxbh8t000peiz6g7e8t5x4","Williams College","William & Mary","2026","VERIFIED","SHORT_ANSWER","critical","review","review_foreign_school_mention","william","derived","medium","false","false","/admin/essay-prompts/cmorxbh8t000peiz6g7e8t5x4","william & mary is a community that fosters deep human connection. we reflect on the lessons of hi..."
"cmor7vnzd000f1jbwr05a38yt","Williams College","William & Mary","2026","VERIFIED","SHORT_ANSWER","critical","review","review_foreign_school_mention","william","derived","medium","false","false","/admin/essay-prompts/cmor7vnzd000f1jbwr05a38yt","william & mary is a community that fosters deep human connection. we reflect on the lessons of hi..."
"cmorwzr2100138vvhfyzhl3ew","Williams College","William & Mary","2026","VERIFIED","SHORT_ANSWER","critical","review","review_foreign_school_mention","william","derived","medium","false","false","/admin/essay-prompts/cmorwzr2100138vvhfyzhl3ew","william & mary is a community that fosters deep human connection. we reflect on the lessons of hi..."
